document_name,page_number,detection_type
F1970088.json,7,Deux Colonnes
F1970089.json,2,Ligne Horizontale (3+ layouts)
F1970093.json,4,Deux Colonnes
F1970094.json,3,Ligne Horizontale (3+ layouts)
F1970098.json,5,Deux Colonnes
F1970098.json,6,Deux Colonnes
F1970104.json,5,Deux Colonnes
F1970106.json,2,Ligne Horizontale (3+ layouts)
F1970107.json,6,Deux Colonnes
F1970108.json,11,Deux Colonnes
F1971005.json,4,Deux Colonnes
F1971005.json,5,Deux Colonnes
F1971011.json,2,Deux Colonnes
F1971014.json,3,Deux Colonnes
F1971021.json,4,Deux Colonnes
F1971024.json,2,Deux Colonnes
F1971035.json,2,Deux Colonnes
F1971036.json,4,Deux Colonnes
F1971045.json,3,Deux Colonnes
F1971048.json,6,Deux Colonnes
F1971048.json,11,Ligne Horizontale (3+ layouts)
F1971049.json,2,Ligne Horizontale (3+ layouts)
F1971050.json,4,Ligne Horizontale (3+ layouts)
F1971050.json,5,Ligne Horizontale (3+ layouts)
F1971050.json,9,Ligne Horizontale (3+ layouts)
F1971050.json,13,Ligne Horizontale (3+ layouts)
F1971050.json,17,Ligne Horizontale (3+ layouts)
F1971050.json,18,Ligne Horizontale (3+ layouts)
F1971050.json,20,Ligne Horizontale (3+ layouts)
F1971050.json,24,Ligne Horizontale (3+ layouts)
F1971050.json,25,Ligne Horizontale (3+ layouts)
F1971054.json,5,Deux Colonnes
F1971061.json,9,Deux Colonnes
F1971064.json,7,Ligne Horizontale (3+ layouts)
F1971071.json,5,Deux Colonnes
F1971073.json,6,Deux Colonnes
F1971073.json,7,Deux Colonnes
F1971073.json,8,Deux Colonnes
F1971075.json,9,Deux Colonnes
F1971077.json,11,Deux Colonnes
F1971078.json,8,Ligne Horizontale (3+ layouts)
F1971078.json,15,Deux Colonnes
F1971081.json,8,Deux Colonnes
F1971081.json,9,Deux Colonnes
F1971081.json,11,Deux Colonnes
F1971084.json,6,Deux Colonnes
F1971085.json,5,Deux Colonnes
F1971086.json,8,Deux Colonnes
F1971086.json,10,Deux Colonnes
F1971088.json,8,Ligne Horizontale (3+ layouts)
F1971088.json,10,Deux Colonnes
F1971089.json,5,Deux Colonnes
F1971093.json,3,Ligne Horizontale (3+ layouts)
F1971094.json,2,Deux Colonnes
F1971095.json,5,Deux Colonnes
F1971096.json,2,Ligne Horizontale (3+ layouts)
F1971096.json,6,Deux Colonnes
F1971102.json,6,Ligne Horizontale (3+ layouts)
F1971102.json,10,Deux Colonnes
F1971102.json,16,Deux Colonnes
F1971102.json,19,Deux Colonnes
F1971103.json,8,Deux Colonnes
F1971106.json,3,Ligne Horizontale (3+ layouts)
F1971107.json,17,Deux Colonnes
F1972001.json,2,Ligne Horizontale (3+ layouts)
F1972003.json,2,Deux Colonnes
F1972003.json,6,Deux Colonnes
F1972004.json,2,Deux Colonnes
F1972004.json,3,Deux Colonnes
F1972010.json,5,Deux Colonnes
F1972012.json,7,Deux Colonnes
F1972013.json,4,Deux Colonnes
F1972014.json,6,Ligne Horizontale (3+ layouts)
F1972020.json,7,Ligne Horizontale (3+ layouts)
F1972021.json,2,Deux Colonnes
F1972021.json,16,Deux Colonnes
F1972022.json,2,Deux Colonnes
F1972022.json,5,Deux Colonnes
F1972023.json,4,Deux Colonnes
F1972027.json,9,Ligne Horizontale (3+ layouts)
F1972030.json,5,Deux Colonnes
F1972031.json,4,Deux Colonnes
F1972039.json,9,Deux Colonnes
F1972042.json,6,Ligne Horizontale (3+ layouts)
F1972043.json,8,Ligne Horizontale (3+ layouts)
F1972044.json,6,Deux Colonnes
F1972045.json,3,Deux Colonnes
F1972045.json,9,Deux Colonnes
F1972046.json,5,Deux Colonnes
F1972051.json,21,Deux Colonnes
F1972051.json,23,Deux Colonnes
F1972051.json,24,Deux Colonnes
F1972055.json,2,Deux Colonnes
F1972057.json,4,Deux Colonnes
F1972058.json,4,Deux Colonnes
F1972058.json,12,Deux Colonnes
F1972067.json,7,Deux Colonnes
F1972068.json,2,Deux Colonnes
F1972072.json,9,Deux Colonnes
F1972075.json,3,Ligne Horizontale (3+ layouts)
F1972077.json,4,Deux Colonnes
F1972078.json,3,Deux Colonnes
F1972078.json,8,Deux Colonnes
F1972080.json,8,Deux Colonnes
F1972082.json,6,Deux Colonnes
F1972087.json,8,Deux Colonnes
F1972087.json,9,Deux Colonnes
F1972094.json,2,Deux Colonnes
F1972095.json,7,Deux Colonnes
F1972099.json,5,Deux Colonnes
F1972099.json,9,Deux Colonnes
F1972099.json,10,Deux Colonnes
F1973001.json,1,Ligne Horizontale (3+ layouts)
F1973001.json,2,Ligne Horizontale (3+ layouts)
F1973002.json,4,Ligne Horizontale (3+ layouts)
F1973007.json,2,Deux Colonnes
F1973007.json,3,Deux Colonnes
F1973007.json,4,Ligne Horizontale (3+ layouts)
F1973007.json,6,Deux Colonnes
F1973008.json,3,Deux Colonnes
F1973011.json,3,Deux Colonnes
F1973011.json,5,Deux Colonnes
F1973012.json,3,Deux Colonnes
F1973013.json,7,Ligne Horizontale (3+ layouts)
F1973013.json,10,Ligne Horizontale (3+ layouts)
F1973013.json,14,Ligne Horizontale (3+ layouts)
F1973013.json,15,Deux Colonnes
F1973013.json,17,Ligne Horizontale (3+ layouts)
F1973013.json,24,Ligne Horizontale (3+ layouts)
F1973013.json,29,Ligne Horizontale (3+ layouts)
F1973014.json,2,Deux Colonnes
F1973021.json,3,Deux Colonnes
F1973023.json,4,Deux Colonnes
F1973026.json,10,Deux Colonnes
F1973033.json,8,Deux Colonnes
F1973033.json,9,Deux Colonnes
F1973033.json,10,Deux Colonnes
F1973036.json,2,Deux Colonnes
F1973036.json,6,Deux Colonnes
F1973037.json,4,Deux Colonnes
F1973038.json,3,Deux Colonnes
F1973039.json,6,Deux Colonnes
F1973041.json,2,Deux Colonnes
F1973041.json,4,Deux Colonnes
F1973043.json,6,Deux Colonnes
F1973046.json,5,Deux Colonnes
F1973049.json,4,Deux Colonnes
F1973049.json,5,Deux Colonnes
F1973050.json,3,Deux Colonnes
F1973050.json,5,Deux Colonnes
F1973051.json,7,Deux Colonnes
F1973052.json,5,Deux Colonnes
F1973052.json,6,Deux Colonnes
F1973057.json,2,Deux Colonnes
F1973057.json,4,Deux Colonnes
F1973057.json,9,Deux Colonnes
F1973059.json,7,Deux Colonnes
F1973059.json,11,Deux Colonnes
F1973060.json,2,Deux Colonnes
F1973065.json,2,Deux Colonnes
F1973065.json,10,Deux Colonnes
F1973065.json,12,Deux Colonnes
F1973065.json,24,Deux Colonnes
F1973065.json,32,Deux Colonnes
F1973071.json,2,Deux Colonnes
F1973074.json,3,Deux Colonnes
F1973074.json,5,Deux Colonnes
F1974002.json,5,Deux Colonnes
F1974002.json,6,Deux Colonnes
F1974005.json,6,Deux Colonnes
F1974006.json,4,Deux Colonnes
F1974007.json,2,Deux Colonnes
F1974007.json,7,Deux Colonnes
F1974020.json,6,Deux Colonnes
F1974021.json,3,Deux Colonnes
F1974022.json,2,Ligne Horizontale (3+ layouts)
F1974022.json,4,Deux Colonnes
F1974027.json,7,Deux Colonnes
F1974029.json,6,Deux Colonnes
F1974037.json,3,Deux Colonnes
F1974039.json,2,Ligne Horizontale (3+ layouts)
F1974041.json,6,Deux Colonnes
F1974045.json,10,Deux Colonnes
F1974056.json,4,Deux Colonnes
F1974065.json,4,Deux Colonnes
F1974067.json,6,Deux Colonnes
F1974073.json,5,Deux Colonnes
F1974086.json,5,Deux Colonnes
F1974087.json,6,Deux Colonnes
F1974089.json,3,Deux Colonnes
F1974089.json,4,Deux Colonnes
F1974089.json,5,Deux Colonnes
F1974090.json,4,Deux Colonnes
F1974090.json,6,Ligne Horizontale (3+ layouts)
F1974095.json,4,Deux Colonnes
F1974095.json,7,Deux Colonnes
F1974101.json,2,Ligne Horizontale (3+ layouts)
F1975003.json,9,Deux Colonnes
F1975008.json,10,Deux Colonnes
F1975009.json,2,Deux Colonnes
F1975011.json,2,Deux Colonnes
F1975015.json,7,Ligne Horizontale (3+ layouts)
